,rouge1,rouge2,rougeL,f1,sas,bertscore
144,0.43,0.1,0.22,0.18,0.63056964,0.98
145,0.67,0.51,0.52,0.36,0.71761715,0.97
146,0.31,0.11,0.21,0.17,0.57873696,0.95
147,0.26,0.06,0.15,0.14,0.6137127,0.88
148,0.32,0.09,0.18,0.17,0.5287366,0.96
0,0.29,0.05,0.19,0.17,0.46606165,0.91
1,0.32,0.12,0.24,0.18,0.47684476,0.95
2,0.34,0.07,0.15,0.13,0.6368957,0.96
3,0.44,0.26,0.32,0.27,0.5660468,0.91
4,0.14,0.1,0.14,0.15,0.538267,0.9
5,0.29,0.04,0.16,0.15,0.44424242,0.95
6,0.06,0.0,0.06,0.03,0.6106028,0.82
7,0.21,0.07,0.12,0.11,0.5775911,0.94
8,0.11,0.0,0.11,0.0,0.022928879,0.79
9,0.18,0.01,0.12,0.12,0.44246694,0.91
10,0.53,0.38,0.47,0.46,0.6685924,0.97
11,0.46,0.35,0.42,0.37,0.707527,0.96
12,0.19,0.04,0.13,0.06,0.25095752,0.87
13,0.03,0.0,0.02,0.04,0.21076858,0.83
14,0.74,0.64,0.72,0.48,0.70217097,0.98
15,0.22,0.03,0.17,0.14,0.42254075,0.95
16,0.39,0.12,0.23,0.26,0.47789225,0.95
17,0.56,0.55,0.56,0.55,0.62582093,0.98
18,0.23,0.02,0.11,0.16,0.17706527,0.91
19,0.24,0.13,0.18,0.12,0.49433932,0.94
20,0.58,0.36,0.32,0.31,0.6437696,0.97
21,0.16,0.01,0.13,0.13,0.5663485,0.92
22,0.04,0.0,0.04,0.04,0.11251979,0.9
23,0.32,0.08,0.17,0.23,0.66488576,0.97
24,0.04,0.0,0.04,0.04,0.45837444,0.91
25,0.2,0.0,0.11,0.13,0.5103661,0.95
26,0.14,0.0,0.09,0.07,0.53995174,0.91
27,0.31,0.07,0.17,0.13,0.58368903,0.95
28,0.54,0.16,0.36,0.34,0.6062255,0.97
29,0.41,0.11,0.2,0.19,0.51834506,0.97
30,0.54,0.38,0.43,0.29,0.729758,0.97
31,0.3,0.04,0.11,0.21,0.41718933,0.96
32,0.16,0.03,0.14,0.12,0.42826,0.91
33,0.37,0.13,0.18,0.18,0.6812918,0.96
34,0.25,0.07,0.2,0.1,0.48199266,0.95
35,0.17,0.08,0.11,0.09,0.624038,0.88
36,0.34,0.15,0.22,0.23,0.68517876,0.93
37,0.09,0.03,0.07,0.06,0.6492926,0.84
38,0.33,0.11,0.22,0.19,0.5887173,0.94
