,rouge1,rouge2,rougeL,f1,sas,bertscore
136,0.32,0.22,0.26,0.2,0.8032723,0.96
137,0.08,0.03,0.07,0.06,0.73182845,0.83
138,0.46,0.08,0.28,0.14,0.5857327,0.95
139,0.44,0.13,0.25,0.13,0.6070335,0.97
140,0.25,0.03,0.14,0.14,0.5218672,0.96
141,0.32,0.18,0.23,0.24,0.5869233,0.93
142,0.45,0.09,0.22,0.17,0.59018064,0.99
143,0.24,0.06,0.17,0.21,0.59910995,0.94
144,0.39,0.09,0.21,0.18,0.6416243,0.95
145,0.62,0.43,0.41,0.33,0.6822305,0.97
146,0.55,0.31,0.33,0.27,0.70480764,0.98
147,0.33,0.05,0.15,0.13,0.6164715,0.92
148,0.36,0.07,0.18,0.15,0.5140543,0.96
