,rouge1,rouge2,rougeL,f1,sas,bertscore
100,0.45,0.17,0.3,0.23,0.5396272,0.98
101,0.34,0.06,0.16,0.11,0.4439044,0.97
102,0.46,0.15,0.25,0.19,0.5804536,0.95
103,0.39,0.09,0.19,0.22,0.60242593,0.98
104,0.37,0.06,0.22,0.17,0.6371398,0.96
105,0.33,0.06,0.16,0.14,0.53941506,0.95
106,0.38,0.06,0.22,0.2,0.41102332,0.98
107,0.25,0.04,0.15,0.11,0.65297514,0.94
108,0.35,0.08,0.16,0.11,0.49295962,0.98
109,0.34,0.12,0.18,0.14,0.66319036,0.98
110,0.35,0.05,0.18,0.14,0.50565344,0.93
111,0.34,0.07,0.16,0.12,0.522091,0.96
112,0.26,0.07,0.2,0.18,0.4096141,0.96
113,0.17,0.05,0.13,0.12,0.5259119,0.87
114,0.32,0.1,0.2,0.15,0.72084314,0.97
115,0.54,0.32,0.44,0.37,0.6164692,0.97
116,0.7,0.44,0.33,0.34,0.61756766,0.99
117,0.41,0.09,0.24,0.19,0.58085483,0.98
118,0.41,0.16,0.27,0.18,0.66603583,0.95
119,0.35,0.05,0.22,0.17,0.5145143,0.97
120,0.3,0.11,0.17,0.1,0.5436786,0.97
121,0.26,0.12,0.2,0.18,0.6586459,0.92
122,0.55,0.35,0.49,0.36,0.663057,0.96
123,0.32,0.07,0.18,0.14,0.5582264,0.95
124,0.34,0.21,0.26,0.25,0.5800248,0.96
125,0.54,0.25,0.3,0.27,0.6685447,0.98
126,0.32,0.01,0.15,0.15,0.34987497,0.96
127,0.33,0.11,0.19,0.12,0.6423248,0.96
128,0.4,0.24,0.31,0.25,0.6744489,0.95
129,0.26,0.06,0.18,0.18,0.63036096,0.95
130,0.31,0.05,0.17,0.18,0.63409466,0.96
131,0.24,0.01,0.13,0.13,0.62555754,0.95
132,0.31,0.05,0.17,0.15,0.50519663,0.95
133,0.3,0.08,0.18,0.18,0.6913459,0.96
134,0.45,0.11,0.19,0.21,0.6289792,0.96
135,0.32,0.06,0.17,0.13,0.45384747,0.96
136,0.13,0.05,0.1,0.08,0.61674875,0.92
137,0.05,0.02,0.05,0.05,0.79283,0.79
138,0.49,0.12,0.26,0.14,0.5598569,0.96
139,0.29,0.06,0.16,0.13,0.6108368,0.95
140,0.26,0.04,0.15,0.16,0.49989107,0.96
141,0.32,0.04,0.16,0.23,0.6373421,0.94
142,0.4,0.09,0.2,0.16,0.5365839,0.96
143,0.24,0.08,0.19,0.19,0.49500516,0.95
144,0.39,0.08,0.21,0.15,0.6314807,0.98
145,0.37,0.17,0.23,0.21,0.6646372,0.96
146,0.53,0.32,0.39,0.3,0.76031643,0.98
147,0.36,0.06,0.2,0.14,0.56434894,0.91
148,0.38,0.06,0.22,0.18,0.53995794,0.98
