,rouge1,rouge2,rougeL,f1,sas,bertscore
35,0.05,0.02,0.05,0.03,0.6269049,0.78
36,0.36,0.14,0.21,0.22,0.6662011,0.96
37,0.38,0.08,0.19,0.12,0.65812236,0.96
38,0.2,0.0,0.09,0.12,0.25197485,0.93
39,0.34,0.09,0.23,0.11,0.4965214,0.96
40,0.26,0.08,0.15,0.21,0.3821623,0.97
41,0.32,0.12,0.26,0.21,0.6222178,0.97
42,0.21,0.1,0.16,0.18,0.65670747,0.94
43,0.29,0.07,0.22,0.2,0.53255105,0.92
44,0.23,0.09,0.19,0.22,0.37554035,0.96
45,0.35,0.12,0.21,0.23,0.365549,0.97
46,0.09,0.0,0.09,0.0,0.009636446,0.89
47,0.06,0.02,0.05,0.04,0.5940171,0.83
48,0.28,0.13,0.22,0.17,0.54149944,0.96
49,0.48,0.22,0.31,0.3,0.54728043,0.97
50,0.24,0.03,0.11,0.12,0.4749023,0.94
51,0.36,0.08,0.23,0.14,0.51965714,0.95
52,0.22,0.05,0.13,0.13,0.5461337,0.92
53,0.24,0.06,0.16,0.15,0.569563,0.94
54,0.18,0.07,0.14,0.11,0.50984883,0.94
55,0.38,0.11,0.23,0.2,0.49307263,0.95
56,0.49,0.3,0.41,0.25,0.6464008,0.97
57,0.21,0.04,0.14,0.13,0.35011995,0.9
58,0.45,0.14,0.26,0.18,0.6932287,0.96
59,0.17,0.07,0.12,0.12,0.53974545,0.93
60,0.3,0.07,0.19,0.27,0.5915726,0.95
61,0.28,0.0,0.13,0.17,0.39364398,0.97
62,0.34,0.09,0.15,0.24,0.41812217,0.97
63,0.46,0.18,0.24,0.29,0.5054369,0.98
64,0.15,0.04,0.11,0.1,0.60962677,0.9
65,0.25,0.05,0.18,0.1,0.5810727,0.93
66,0.37,0.04,0.19,0.12,0.5271587,0.97
67,0.16,0.09,0.13,0.08,0.46252236,0.96
68,0.2,0.06,0.14,0.09,0.52946705,0.91
69,0.26,0.04,0.16,0.17,0.48519352,0.92
70,0.31,0.23,0.31,0.31,0.4497232,0.96
71,0.57,0.37,0.38,0.42,0.6334761,0.97
72,0.17,0.02,0.09,0.1,0.39097565,0.95
73,0.33,0.1,0.15,0.2,0.5086128,0.97
